날짜,종가,대비
2020.12.15,1838.7,5.51
2020.12.14,1833.19,-3.21
2020.12.11,1836.4,-0.81
2020.12.10,1837.21,-24.79
2020.12.9,1862,-5.86
2020.12.8,1867.86,27.25
2020.12.7,1840.61,-1.41
2020.12.4,1842.01,10.31
2020.12.3,1831.69,18.76
2020.12.2,1812.93,27.57
2020.12.1,1785.37,12.5
2020.11.30,1772.87,-36.83
2020.11.27,1809.7,-0.79
2020.11.26,1810.48,4.25
2020.11.25,1806.23,-22.27
2020.11.24,1828.5,-46.72
2020.11.23,1875.21,7.89
2020.11.20,1867.33,5.72
2020.11.19,1861.6,-18.29
2020.11.18,1879.88,-7.32
2020.11.17,1887.2,-3.04
2020.11.16,1890.24,10.24
2020.11.13,1880,9.36
2020.11.12,1870.64,-11.75
2020.11.11,1882.39,-2.85
2020.11.10,1885.24,-73.17
2020.11.9,1958.42,17.11
2020.11.6,1941.31,32.2
2020.11.5,1909.11,11.71
2020.11.4,1897.4,4.67
2020.11.3,1892.72,9.01
2020.11.2,1883.72,12.62
2020.10.30,1871.1,-13.15
2020.10.29,1884.26,-23.69
2020.10.28,1907.94,-0.74
2020.10.27,1908.68,10.1
2020.10.26,1898.59,-5.97
2020.10.23,1904.56,-13.23
2020.10.22,1917.79,-2.44
2020.10.21,1920.22,17.73
2020.10.20,1902.5,-7.09
2020.10.19,1909.59,5.97
2020.10.16,1903.62,6.05
2020.10.15,1897.56,-0.26
2020.10.14,1897.82,-18.84
2020.10.13,1916.66,-11.51
2020.10.12,1928.17,34.98
2020.10.8,1893.2,2.9
2020.10.7,1890.3,-20.07
2020.10.6,1910.38,17.15
2020.10.5,1893.22,13.75
2020.9.29,1879.47,21.63
2020.9.28,1857.85,-13.15
2020.9.25,1871,18.9
2020.9.24,1852.1,-26.53
2020.9.23,1878.63,-25.31
2020.9.22,1903.94,-47.94
2020.9.21,1951.88,-1.43
2020.9.18,1953.3,8.4
2020.9.17,1944.9,-14.74
2020.9.16,1959.64,-4.56
2020.9.15,1964.2,18.84
2020.9.14,1945.37,2.46
2020.9.11,1942.91,-0.57
2020.9.10,1943.48,17.48
2020.9.9,1926,-5
2020.9.8,1930.99,-0.87
2020.9.7,1931.87,-3.14
2020.9.4,1935.01,5.33
2020.9.3,1929.68,-35.12
2020.9.2,1964.8,-21.23
2020.9.1,1986.03,21.36
2020.8.31,1964.67,18.5
2020.8.28,1946.17,4.54
2020.8.27,1941.63,22.73
2020.8.26,1918.9,-13.81
2020.8.25,1932.71,-3.52
2020.8.24,1936.23,-7.3
2020.8.21,1943.54,-3.37
2020.8.20,1946.9,-42
2020.8.19,1988.9,-15.64
2020.8.18,2004.55,60.26
2020.8.14,1944.29,10.21
2020.8.13,1934.08,29.92
2020.8.12,1904.15,-94.36
2020.8.11,1998.51,-34.02
2020.8.10,2032.54,-26.89
2020.8.7,2059.43,8.12
2020.8.6,2051.32,20.99
2020.8.5,2030.33,57.78
2020.8.4,1972.54,-1.26
2020.8.3,1973.8,0.8
2020.7.31,1973,15.11
2020.7.30,1957.89,0.89
2020.7.29,1957,18.78
2020.7.28,1938.22,4.54
2020.7.27,1933.67,47.37
2020.7.24,1886.31,12.41
2020.7.23,1873.89,14.64
2020.7.22,1859.25,38.65
2020.7.21,1820.6,9.96
2020.7.20,1810.64,11.24
2020.7.17,1799.4,-6.96
2020.7.16,1806.37,-1.01
2020.7.15,1807.38,5.72
2020.7.14,1801.65,-4.96
2020.7.13,1806.61,9.39
2020.7.10,1797.21,-13.59
2020.7.9,1810.8,16.2
2020.7.8,1794.6,10.32
2020.7.7,1784.27,7.79
2020.7.6,1776.48,1.8
2020.7.3,1774.68,7.12
2020.7.2,1767.57,-17.18
2020.7.1,1784.74,11.84
2020.6.30,1772.9,0.01
2020.6.29,1772.89,12.29
2020.6.26,1760.6,-7.65
2020.6.25,1768.25,2.05
2020.6.24,1766.2,15.47
2020.6.23,1750.72,-1.55
2020.6.22,1752.28,20.58
2020.6.19,1731.7,4.92
2020.6.18,1726.78,-1.32
2020.6.17,1728.1,1.69
2020.6.16,1726.41,6.26
2020.6.15,1720.14,-10.38
2020.6.12,1730.53,-0.3
2020.6.11,1730.83,13.71
2020.6.10,1717.12,21.75
2020.6.9,1695.38,2.42
2020.6.8,1692.96,-16.77
2020.6.5,1709.72,9.72
2020.6.4,1700,-22.8
2020.6.3,1722.8,-13.85
2020.6.2,1736.64,-5.14
2020.6.1,1741.79,21.59
2020.5.29,1720.19,2
2020.5.28,1718.2,12.05
2020.5.27,1706.15,-25.43
2020.5.26,1731.59,5.71
2020.5.25,1725.88,-7.01
2020.5.22,1732.89,-5.4
2020.5.21,1738.29,-11.24
2020.5.20,1749.53,19
2020.5.19,1730.53,-32.22
2020.5.18,1762.74,26.93
2020.5.15,1735.81,18.91
2020.5.14,1716.9,13.16
2020.5.13,1703.73,4.04
2020.5.12,1699.7,-7.83
2020.5.11,1707.53,-9.34
2020.5.8,1716.87,31.47
2020.5.7,1685.4,-17.27
2020.5.6,1702.67,-1.66
2020.5.4,1704.34,-4.81
2020.4.29,1709.14,11.02
2020.4.28,1698.13,-20.3
2020.4.27,1718.42,-9.68
2020.4.24,1728.1,12.53
2020.4.23,1715.57,33.65
2020.4.22,1681.92,-10.26
2020.4.21,1692.18,11.49
2020.4.20,1680.68,-16.93
2020.4.17,1697.62,-25.31
2020.4.16,1722.93,11.93
2020.4.14,1711.01,20.8
2020.4.13,1690.2,5.18
2020.4.10,1685.02,32.09
2020.4.9,1652.92,4.88
2020.4.8,1648.04,-11.34
2020.4.7,1659.38,30.75
2020.4.6,1628.62,19.32
2020.4.3,1609.3,20.6
2020.4.2,1588.7,2.34
2020.4.1,1586.36,-29.34
2020.3.31,1615.7,0.32
2020.3.30,1615.38,-8.33
2020.3.27,1623.71,22
2020.3.26,1601.71,-11.14
2020.3.25,1612.85,42.14
2020.3.24,1570.71,82.99
2020.3.23,1487.72,-11.68
2020.3.20,1499.4,14.22
2020.3.19,1485.17,-22.88
2020.3.18,1508.05,23.35
2020.3.17,1484.7,-60.89
2020.3.16,1545.59,-42.8
2020.3.13,1588.39,-48.19
2020.3.12,1636.58,-26.34
2020.3.11,1662.91,2.67
2020.3.10,1660.24,-8.92
2020.3.9,1669.16,-3.58
2020.3.6,1672.74,33.46
2020.3.5,1639.29,-3.1
2020.3.4,1642.38,48.59
2020.3.3,1593.8,-10.11
2020.3.2,1603.9,-28.25
2020.2.28,1632.15,-19.3
2020.2.27,1651.45,7.25
2020.2.26,1644.2,6.87
2020.2.25,1637.34,-26.59
2020.2.24,1663.92,32.2
2020.2.21,1631.72,24.32
2020.2.20,1607.4,3.21
2020.2.19,1604.18,18.5
2020.2.18,1585.68,3.32
2020.2.17,1582.37,6.42
2020.2.14,1575.94,1.49
2020.2.13,1574.45,8.62
2020.2.12,1565.83,-2.37
2020.2.11,1568.2,-2.71
2020.2.10,1570.91,7.05
2020.2.7,1563.86,7.91
2020.2.6,1555.95,-3.57
2020.2.5,1559.53,-11.71
2020.2.4,1571.23,-8.9
2020.2.3,1580.13,6.43
2020.1.31,1573.7,-4.33
2020.1.30,1578.03,10.67
2020.1.29,1567.36,-11.78
2020.1.28,1579.14,22.26
2020.1.23,1556.88,4.24
2020.1.22,1552.64,-14.46
2020.1.21,1567.1,5.26
2020.1.20,1561.84,6.96
2020.1.17,1554.88,1.67
2020.1.16,1553.21,2.35
2020.1.15,1550.86,11.56
2020.1.14,1539.3,-15.31
2020.1.13,1554.61,7.01
2020.1.10,1547.6,6.76
2020.1.9,1540.84,-52.99
2020.1.8,1593.84,26.48
2020.1.7,1567.35,-7.29
2020.1.6,1574.64,32.58
2020.1.3,1542.07,21.57
2020.1.2,1520.49,7.03
2019.12.30,1513.46,5.04
2019.12.27,1508.43,4.83
2019.12.26,1503.6,13.11
2019.12.24,1490.49,6.99
2019.12.23,1483.51,4.46
2019.12.20,1479.05,2.83
2019.12.19,1476.22,-1.3
2019.12.18,1477.53,0.4
2019.12.17,1477.13,-0.74
2019.12.16,1477.87,11.04
2019.12.13,1466.84,-6.79
2019.12.12,1473.62,9.62
2019.12.11,1464,1.74
2019.12.10,1462.26,0.45
2019.12.9,1461.81,-10.82
2019.12.6,1472.63,-4.39
2019.12.5,1477.03,-3.59
2019.12.4,1480.62,19.93
2019.12.3,1460.68,0.6
2019.12.2,1460.09,2.06
2019.11.29,1458.03,1.43
2019.11.28,1456.6,-2.31
2019.11.27,1458.9,2.23
2019.11.26,1456.67,-2.08
2019.11.25,1458.74,-8.24
2019.11.22,1466.99,-2.81
2019.11.21,1469.8,-5.93
2019.11.20,1475.73,2.93
2019.11.19,1472.8,8.24
2019.11.18,1464.56,1.09
2019.11.15,1463.47,-2.78
2019.11.14,1466.25,3.65
2019.11.13,1462.6,11.9
2019.11.12,1450.69,-12.36
2019.11.11,1463.06,-7.59
2019.11.8,1470.65,-20.92
2019.11.7,1491.57,5.39
2019.11.6,1486.18,-18.22
2019.11.5,1504.4,-7.39
2019.11.4,1511.8,1.37
2019.11.1,1510.42,12.58
2019.10.31,1497.85,8.12
2019.10.30,1489.73,-1.72
2019.10.29,1491.45,-14.81
2019.10.28,1506.27,0.47
2019.10.25,1505.8,14.15
2019.10.24,1491.64,0.99
2019.10.23,1490.65,5.33
2019.10.22,1485.33,-6.18
2019.10.21,1491.51,1.36
2019.10.18,1490.15,-0.15
2019.10.17,1490.3,9.76
2019.10.16,1480.54,-9.11
2019.10.15,1489.65,2.01
2019.10.14,1487.64,-11.56
2019.10.11,1499.2,-6.2
2019.10.10,1505.4,14.4
2019.10.8,1491,-15.55
2019.10.7,1506.56,-1.53
2019.10.4,1508.09,32.34
2019.10.2,1475.76,13.16
2019.10.1,1462.59,-27.87
2019.9.30,1490.46,-8.58
2019.9.27,1499.04,-8.97
2019.9.26,1508.01,-20.61
2019.9.25,1528.62,7.41
2019.9.24,1521.2,6.51
2019.9.23,1514.69,9.84
2019.9.20,1504.86,8.73
2019.9.19,1496.12,-5.38
2019.9.18,1501.5,7.39
2019.9.17,1494.11,-11.96
2019.9.16,1506.07,12.14
2019.9.11,1493.92,3.04
2019.9.10,1490.88,-17.46
2019.9.9,1508.34,-1.6
2019.9.6,1509.94,-36.77
2019.9.5,1546.71,7.64
2019.9.4,1539.07,13.85
2019.9.3,1525.22,2.81
2019.9.2,1522.41,-7.09
2019.8.30,1529.51,-17.65
2019.8.29,1547.15,9.05
2019.8.28,1538.1,6.03
2019.8.27,1532.07,-9.89
2019.8.26,1541.96,46.93
2019.8.23,1495.04,-6.26
2019.8.22,1501.3,1
2019.8.21,1500.3,3.55
2019.8.20,1496.75,-12.68
2019.8.19,1509.43,-5.84
2019.8.16,1515.28,16.89
2019.8.14,1498.39,-25.49
2019.8.13,1523.88,31.43
2019.8.12,1492.44,-9.01
2019.8.9,1501.45,3.5
2019.8.8,1497.95,10.31
2019.8.7,1487.64,25.68
2019.8.6,1461.96,4.46
2019.8.5,1457.51,23.03
2019.8.2,1434.48,28.14
2019.8.1,1406.34,-25.96
2019.7.31,1432.3,6.69
2019.7.30,1425.61,6.96
