date,lastvalue,difference,diffrate,startvalue,highvalue,lowvalue,volume
24.Feb.98,"1,738.71",-13.05,-0.74,"1,755.75","1,757.96","1,738.71","774,920,000"
25.Feb.98,"1,766.48",27.77,1.60,"1,746.84","1,766.66","1,746.73","845,060,000"
26.Feb.98,"1,777.11",10.63,0.60,"1,766.71","1,777.13","1,763.86","782,680,000"
27.Feb.98,"1,770.51",-6.60,-0.37,"1,778.02","1,783.74","1,769.99","816,160,000"
2.Mar.98,"1,758.54",-11.97,-0.68,"1,778.72","1,781.07","1,756.94","747,030,000"
3.Mar.98,"1,757.14",-1.40,-0.08,"1,748.96","1,757.18","1,741.15","783,120,000"
4.Mar.98,"1,759.70",2.56,0.15,"1,750.48","1,762.32","1,748.57","731,200,000"
5.Mar.98,"1,711.92",-47.78,-2.72,"1,714.59","1,714.59","1,708.48","874,260,000"
6.Mar.98,"1,753.49",41.57,2.43,"1,722.59","1,753.49","1,722.59","791,520,000"
9.Mar.98,"1,725.16",-28.33,-1.62,"1,747.94","1,747.94","1,725.16","739,340,000"
10.Mar.98,"1,748.51",23.35,1.35,"1,741.58","1,748.66","1,741.58","799,920,000"
11.Mar.98,"1,756.85",8.34,0.48,"1,756.03","1,763.40","1,756.03","838,450,000"
12.Mar.98,"1,764.06",7.21,0.41,"1,763.71","1,766.23","1,749.78","756,150,000"
13.Mar.98,"1,771.66",7.60,0.43,"1,775.01","1,780.90","1,768.62","752,290,000"
16.Mar.98,"1,788.18",16.52,0.93,"1,779.41","1,788.40","1,779.41","690,210,000"
17.Mar.98,"1,779.30",-8.88,-0.50,"1,787.94","1,788.81","1,769.93","799,940,000"
18.Mar.98,"1,788.28",8.98,0.50,"1,772.74","1,788.74","1,768.78","757,120,000"
19.Mar.98,"1,799.98",11.70,0.65,"1,789.55","1,799.98","1,789.55","789,290,000"
20.Mar.98,"1,789.16",-10.82,-0.60,"1,803.28","1,807.03","1,788.86","756,320,000"
23.Mar.98,"1,792.51",3.35,0.19,"1,784.95","1,798.32","1,783.19","731,510,000"
24.Mar.98,"1,812.44",19.93,1.11,"1,796.84","1,813.45","1,796.84","803,810,000"
25.Mar.98,"1,824.51",12.07,0.67,"1,837.62","1,840.83","1,812.76","871,650,000"
26.Mar.98,"1,828.54",4.03,0.22,"1,822.24","1,832.60","1,816.02","725,070,000"
27.Mar.98,"1,823.62",-4.92,-0.27,"1,837.11","1,839.76","1,818.48","738,420,000"
30.Mar.98,"1,818.70",-4.92,-0.27,"1,823.79","1,826.63","1,814.41","655,780,000"
31.Mar.98,"1,835.68",16.98,0.93,"1,823.48","1,839.77","1,818.61","841,000,000"
1.Apr.98,"1,847.66",11.98,0.65,"1,838.15","1,848.95","1,826.12","835,580,000"
2.Apr.98,"1,852.96",5.30,0.29,"1,847.96","1,858.21","1,845.72","918,090,000"
3.Apr.98,"1,855.40",2.44,0.13,"1,857.35","1,865.80","1,850.63","863,080,000"
6.Apr.98,"1,829.14",-26.26,-1.42,"1,859.24","1,861.12","1,828.72","761,070,000"
7.Apr.98,"1,798.71",-30.43,-1.66,"1,823.54","1,823.54","1,788.74","776,480,000"
8.Apr.98,"1,807.01",8.30,0.46,"1,801.11","1,816.33","1,798.35","719,600,000"
9.Apr.98,"1,820.24",13.23,0.73,"1,814.51","1,821.75","1,814.44","755,840,000"
13.Apr.98,"1,824.95",4.71,0.26,"1,824.07","1,826.98","1,810.26","631,850,000"
14.Apr.98,"1,843.03",18.08,0.99,"1,825.40","1,844.76","1,825.40","777,690,000"
